State,State defines the arts in statute or code as a core or academic subject,State adopted early childhood or prekindergarten arts education standards,State adopted elementary and/or secondary arts education standards,State requires districts or schools to offer arts instruction at the elementary school level,State requires districts or schools to offer arts instruction at the middle school level,State requires districts or schools to offer arts instruction at the high school level,State includes arts courses as an option to fulfill graduation requirements,"State requires state-, district- or school-level assessment of student learning in the arts",State specifies arts education as a requirement for schools to be accredited,State provides funding for an arts education grant program or a state-funded school for the arts
Alabama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Alaska,No,Yes,Yes,No,No,No,No,No,No,Yes
Arizona,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Arkansas,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
California,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Colorado,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
Connecticut,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Delaware,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
District of Columbia,No,Yes,Yes,No,No,No,No,No,No,No
Florida,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Georgia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Hawaii,No,Yes,Yes,No,No,No,Yes,Yes,No,No
Idaho,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
Illinois,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Indiana,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
Iowa,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Kansas,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Kentucky,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Louisiana,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Maine,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Maryland,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Massachusetts,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Michigan,No,Yes,Yes,No,No,No,Yes,No,No,No
Minnesota,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Mississippi,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Missouri,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
Montana,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Nebraska,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Nevada,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
New Hampshire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
New Jersey,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
New Mexico,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
New York,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
North Carolina,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
North Dakota,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
Ohio,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Oklahoma,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Oregon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Pennsylvania,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
Rhode Island,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
South Carolina,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
South Dakota,No,Yes,Yes,No,No,Yes,No,No,No,No
Tennessee,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Texas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Utah,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
Vermont,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
Virginia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Washington,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
West Virginia,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Wisconsin,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Wyoming,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
