Jurisdiction,Score (MN),Difference from National Public (NP) (SigDiff),SigSymbol,At or Above Basic (AB),At or Above Proficient (AP)
Alabama,230,-10,▼,71,28
Alaska,232,-8,▼,73,33
Arizona,238,-2,▼,77,37
Arkansas,233,-7,▼,75,33
California,235,-5,▼,75,34
Colorado,242,2,♦,80,44
Connecticut,243,3,▲,82,45
Delaware,239,-1,♦,79,39
District of Columbia,235,-5,▼,73,34
DoDEA,250,10,▲,92,54
Florida,246,6,▲,87,48
Georgia,238,-2,▼,77,36
Hawaii,239,-1,♦,78,40
Idaho,242,2,♦,82,43
Illinois,237,-3,▼,77,38
Indiana,245,5,▲,84,47
Iowa,241,1,♦,81,42
Kansas,239,-1,♦,79,40
Kentucky,239,-1,♦,81,40
Louisiana,231,-9,▼,73,29
Maine,241,1,♦,81,42
Maryland,239,-1,♦,76,39
Massachusetts,247,7,▲,85,50
Michigan,236,-4,▼,76,36
Minnesota,248,8,▲,85,53
Mississippi,241,1,♦,84,39
Missouri,238,-2,♦,80,39
Montana,241,1,♦,82,43
National public,240,†,,80,40
Nebraska,244,4,▲,84,45
Nevada,236,-4,▼,77,34
New Hampshire,245,5,▲,86,46
New Jersey,246,6,▲,85,48
New Mexico,231,-9,▼,72,29
New York,237,-3,▼,76,37
North Carolina,241,1,♦,82,41
North Dakota,243,3,▲,84,44
Ohio,241,1,♦,82,41
Oklahoma,237,-3,▼,80,35
Oregon,236,-4,▼,75,37
Pennsylvania,244,4,▲,81,47
Puerto Rico,185,-55,▼,15,1
Rhode Island,239,-1,♦,81,40
South Carolina,237,-3,▼,77,36
South Dakota,241,1,♦,83,43
Tennessee,240,#,♦,79,40
Texas,244,4,▲,84,44
Utah,244,4,▲,82,46
Vermont,239,-1,♦,81,39
Virginia,247,7,▲,87,48
Washington,240,#,♦,79,39
West Virginia,231,-9,▼,74,30
Wisconsin,242,2,♦,80,45
Wyoming,246,6,▲,87,48
