Jurisdiction,Score (MN),Difference from National Public (NP) (SigDiff),SigSymbol,At or Above Basic (AB),At or Above Proficient (AP)
Alabama,212,-8,▼,58,28
Alaska,204,-15,▼,53,25
Arizona,216,-4,▼,61,31
Arkansas,215,-4,▼,62,31
California,216,-3,▼,63,32
Colorado,225,5,▲,71,40
Connecticut,224,5,▲,70,40
Delaware,218,-2,♦,62,33
District of Columbia,214,-5,▼,57,30
DoDEA,235,15,▲,83,49
Florida,225,5,▲,70,38
Georgia,218,-1,♦,63,32
Hawaii,218,-2,♦,63,34
Idaho,223,3,▲,69,37
Illinois,218,-1,♦,64,34
Indiana,222,2,♦,67,37
Iowa,221,1,♦,68,35
Kansas,219,#,♦,66,34
Kentucky,221,1,♦,67,35
Louisiana,210,-10,▼,55,26
Maine,221,2,♦,67,36
Maryland,220,#,♦,64,35
Massachusetts,231,12,▲,76,45
Michigan,218,-1,♦,64,32
Minnesota,222,3,▲,69,38
Mississippi,219,#,♦,65,32
Missouri,218,-1,♦,64,34
Montana,222,2,♦,69,36
National public,219,†,,65,34
Nebraska,222,3,▲,69,37
Nevada,218,-2,♦,64,31
New Hampshire,224,5,▲,71,38
New Jersey,227,8,▲,72,42
New Mexico,208,-12,▼,53,24
New York,220,#,♦,66,34
North Carolina,221,2,♦,67,36
North Dakota,221,2,♦,69,34
Ohio,222,3,▲,68,36
Oklahoma,216,-3,▼,63,29
Oregon,218,-2,♦,64,34
Pennsylvania,223,4,▲,68,40
Puerto Rico,—,†,,—,—
Rhode Island,220,1,♦,66,35
South Carolina,216,-3,▼,61,32
South Dakota,222,3,▲,69,36
Tennessee,219,#,♦,66,35
Texas,216,-3,▼,61,30
Utah,225,6,▲,72,40
Vermont,222,2,▲,68,37
Virginia,224,4,▲,69,38
Washington,220,#,♦,65,35
West Virginia,213,-6,▼,60,30
Wisconsin,220,#,♦,66,36
Wyoming,227,7,▲,73,41
